University name,Rank as 2018,course Url,Latitude,Longitude,Address,latlong,Nearest Restuarant,lat(Restuarant),lng(Restuarant),address(Restuarant),Nearest airport,lat(Airport),lng(Airport),Address(Airport),Nearest Gas station,lat(Gas station),lng(Gas Station),Address(Gas Station)
City University of Hong Kong,49,http://www.cityu.edu.hk/ais/OurTeam_StaffProfile_Grid.aspx?username=jzhan36,22.3371397,114.172793,"83 Tat Chee Ave, Kowloon Tong, Hong Kong","22.337139699999998,114.172793",Star Seafood Restaurant,22.331272,114.165396,"Hong Kong, Sham Shui Po, Tai Po Rd, 168-178A號",Hong Kong International Airport,22.308047,113.9184808,"1 Sky Plaza Rd, Chek Lap Kok, Hong Kong",Esso,22.338729,114.16348500000001,"332 Tai Po Rd, Pak Tin, Hong Kong"
The University of Sydney,50,https://sydney.edu.au/,-33.888584,151.18734730000003,"Camperdown NSW 2006, Australia","-33.888584,151.18734730000003",Thai Pothong Restaurant,-33.8967395,151.1798197,"294 King St, Newtown NSW 2042, Australia",Sydney Airport,-33.9399228,151.1752764,"Sydney NSW 2020, Australia",BP,-33.8863048,151.1796616,"Parramatta Rd & Missenden Rd, Camperdown NSW 2050, Australia"
University of British Columbia,51,https://www.ubc.ca/,49.26060520000001,-123.2459938,"2329 West Mall, Vancouver, BC V6T 1Z4, Canada","49.26060520000001,-123.24599380000001",The Point Grill,49.2616027,-123.2552739,"2205 Lower Mall, Vancouver, BC BC V6T, Canada",Vancouver International Airport,49.1966913,-123.1815123,"3211 Grant McConachie Way, Richmond, BC V7B 0A4, Canada",Shell,49.2635599,-123.2034456,"4314 W 10th Ave, Vancouver, BC V6R 2H7, Canada"
New York University (NYU),52,https://www.nyu.edu/,40.72951339999999,-73.9964609,"New York, NY 10003, USA","40.72951339999999,-73.9964609",Blue Hill,40.7320465,-73.9996685,"75 Washington Pl, New York, NY 10011, USA",LaGuardia Airport,40.7769271,-73.87396590000002,"Queens, NY 11371, USA",BP,40.735228899999996,-73.9745506,"FDR Drive & E 23rd St, New York, NY 10010, USA"
Brown University,53,https://www.brown.edu/academics/gradschool/,41.8267718,-71.40254820000001,"Providence, RI 02912, USA","41.826771799999996,-71.40254820000001",McCormick & Schmick's Seafood & Steaks,41.8242665,-71.4132357,"11 Dorrance St, Providence, RI 02903, USA",T. F. Green Airport,41.7245271,-71.43040620000001,"2000 Post Rd, Warwick, RI 02886, USA",Shell,41.8189702,-71.4001098,"457 Benefit St, Providence, RI 02903, USA"
Delft University of Technology,54,https://www.tudelft.nl/en/tpm/,51.99625589999999,4.375865900000001,"Mekelweg 2, 2628 CD Delft, Netherlands","51.99625589999999,4.375865900000001",Restaurant Rossio,52.0101607,4.3573624,"Oude Delft 78, 2611 CD Delft, Netherlands",Rotterdam The Hague Airport,51.9555086,4.439883200000001,"Rotterdam Airportplein 60, 3045 AP Rotterdam, Netherlands",TinQ,51.9944587,4.3615307,"Vulcanusweg 281, 2624 AV Delft, Netherlands"
University of Wisconsin-Madison,55,https://grad.wisc.edu/,43.076592,-89.4124875,"Madison, WI 53706, USA","43.076592,-89.4124875",Wingstop,43.0678737,-89.40713520000001,"1234 Regent St, Madison, WI 53715, USA",Dane County Regional Airport,43.1390659,-89.3364128,"4000 International Ln, Madison, WI 53704, USA",BP,43.07264489999999,-89.42481490000002,"2216 University Ave, Madison, WI 53726, USA"
Tokyo Institute of Technology,56,https://educ.titech.ac.jp/phys/eng/,35.6051229,139.68353019999998,"2 Chome-12-1 Ookayama, Meguro, Tokyo 152-8550, Japan","35.6051229,139.68353019999998",Mitsufuji Ramen restaurant,35.610036,139.677526,"Japan, 〒152-0034 Tokyo, Meguro, Midorigaoka, 1 Chome−14−2",Haneda Airport,35.549393200000004,139.7798386,"Japan, 〒144-0041 Tokyo, Ōta, Hanedakuko",Idemitsu Self Ookayama Service Station,35.6129756,139.6867814,"Japan, 〒152-0013 Tokyo, Meguro, Minami, 3 Chome−12−1"
The University of Warwick,57,https://www.topuniversities.com/universities/university-warwick,52.3792525,-1.5614704,"Coventry CV4 7AL, UK","52.3792525,-1.5614704",Xananas Restaurant,52.3792936,-1.5606438,"6 University Rd, Coventry CV4 7EZ, UK",Birmingham Airport,52.4523821,-1.7435071,"Birmingham B26 3QJ, UK",BP,52.407182299999995,-1.5245274,"Butts Rd, Coventry CV1 3GU, UK"
University of Amsterdam,58,http://www.uva.nl/en/disciplines/sociology,52.35581819999999,4.955726299999999,"1012 WX Amsterdam, Netherlands","52.35581819999999,4.9557262999999985",Cafe Restaurant Polder,52.3545919,4.9527544,"Science Park 201, 1098 XH Amsterdam, Netherlands",Amsterdam Airport Schiphol,52.3105386,4.768274400000001,"Evert van de Beekstraat 202, 1118 CP Schiphol, Netherlands",Texaco,52.3670048,4.9244683,"Sarphatistraat 225, 1018 AE Amsterdam, Netherlands"
Ecole Polytechnique,59,https://www.polytechnique.edu/en,48.7142971,2.2112917000000003,"Route de Saclay, 91128 Palaiseau, France","48.7142971,2.2112917000000003",Restaurant La Grange,48.7038932,2.2331597999999997,"1 Avenue du Moulin de la Planche, 91120 Palaiseau, France",Orly Airport,48.72624329999999,2.3652472,"94390 Orly, France",BP,48.784858,2.226408,"38 Avenue du Maréchal de Lattre de Tassigny, 92360 Meudon, France"
